cf_timestamp_ms,host_monotonic_s,sensorFilter.surfBefore,sensorFilter.surfAfter,sensorFilter.surfDelta,sensorFilter.surfSign
65113,1858.738642,0.0,0.0,0.0,0
65133,1858.758654,0.0,0.0,0.0,0
65153,1858.778658,0.0,0.0,0.0,0
65173,1858.798642,0.0,0.0,0.0,0
65193,1858.818641,0.0,0.0,0.0,0
65213,1858.838639,0.0,0.0,0.0,0
65233,1858.858640,0.0,0.0,0.0,0
65253,1858.878648,0.0,0.0,0.0,0
65273,1858.898638,0.0,0.0,0.0,0
65293,1858.918635,0.0,0.0,0.0,0
65313,1858.938639,0.0,0.0,0.0,0
65333,1858.958639,0.0,0.0,0.0,0
65353,1858.978688,0.0,0.0,0.0,0
65373,1858.998635,0.0,0.0,0.0,0
65393,1859.018640,0.0,0.0,0.0,0
65413,1859.038635,0.0,0.0,0.0,0
65433,1859.058638,0.0,0.0,0.0,0
65453,1859.078634,0.0,0.0,0.0,0
65473,1859.098635,0.0,0.0,0.0,0
65493,1859.118629,0.0,0.0,0.0,0
65513,1859.138634,0.0,0.0,0.0,0
65533,1859.158646,0.0,0.0,0.0,0
65553,1859.178633,0.0,0.0,0.0,0
65573,1859.198640,0.0,0.0,0.0,0
65593,1859.218629,0.0,0.0,0.0,0
65613,1859.238631,0.0,0.0,0.0,0
65633,1859.258631,0.0,0.0,0.0,0
65653,1859.278630,0.0,0.0,0.0,0
65673,1859.298629,0.0,0.0,0.0,0
65693,1859.318625,0.0,0.0,0.0,0
65713,1859.338630,0.0,0.0,0.0,0
65733,1859.358629,0.0,0.0,0.0,0
65753,1859.378624,0.0,0.0,0.0,0
65773,1859.398212,0.0,0.0,0.0,0
65793,1859.418206,0.0,0.0,0.0,0
65813,1859.438206,0.0,0.0,0.0,0
65833,1859.458210,0.0,0.0,0.0,0
65853,1859.478203,0.0,0.0,0.0,0
65873,1859.498202,0.0,0.0,0.0,0
65893,1859.518199,0.0,0.0,0.0,0
65913,1859.538203,0.0,0.0,0.0,0
65933,1859.558213,0.0,0.0,0.0,0
65953,1859.578212,0.0,0.0,0.0,0
65973,1859.598201,0.0,0.0,0.0,0
65993,1859.618207,0.0,0.0,0.0,0
66013,1859.638202,0.0,0.0,0.0,0
66033,1859.658208,0.0,0.0,0.0,0
66053,1859.678202,0.0,0.0,0.0,0
66073,1859.698201,0.0,0.0,0.0,0
66093,1859.718201,0.0,0.0,0.0,0
66113,1859.738202,0.0,0.0,0.0,0
66133,1859.758200,0.0,0.0,0.0,0
66153,1859.778201,0.0,0.0,0.0,0
66173,1859.798619,0.0,0.0,0.0,0
66193,1859.817618,0.0,0.0,0.0,0
66213,1859.837625,0.0,0.0,0.0,0
66233,1859.857617,0.0,0.0,0.0,0
66253,1859.877616,0.0,0.0,0.0,0
66273,1859.897612,0.0,0.0,0.0,0
66293,1859.917615,0.0,0.0,0.0,0
66313,1859.937619,0.0,0.0,0.0,0
66333,1859.957611,0.0,0.0,0.0,0
66353,1859.977615,0.0,0.0,0.0,0
66373,1859.997610,0.0,0.0,0.0,0
66393,1860.017613,0.0,0.0,0.0,0
66413,1860.037616,0.0,0.0,0.0,0
66433,1860.057622,0.0,0.0,0.0,0
66453,1860.077615,0.0,0.0,0.0,0
66473,1860.097608,0.0,0.0,0.0,0
66493,1860.117607,0.0,0.0,0.0,0
66513,1860.137609,0.0,0.0,0.0,0
66533,1860.157619,0.0,0.0,0.0,0
66553,1860.177610,0.0,0.0,0.0,0
66573,1860.197607,0.0,0.0,0.0,0
66593,1860.217603,0.0,0.0,0.0,0
66613,1860.237612,0.0,0.0,0.0,0
66633,1860.257615,0.0,0.0,0.0,0
66653,1860.277608,0.0,0.0,0.0,0
66673,1860.297607,0.0,0.0,0.0,0
66693,1860.317602,0.0,0.0,0.0,0
66713,1860.337606,0.0,0.0,0.0,0
66733,1860.357604,0.0,0.0,0.0,0
66753,1860.377603,0.0,0.0,0.0,0
66773,1860.397604,0.0,0.0,0.0,0
66793,1860.417602,0.0,0.0,0.0,0
66813,1860.437604,0.0,0.0,0.0,0
66833,1860.457603,0.0,0.0,0.0,0
66853,1860.477603,0.0,0.0,0.0,0
66873,1860.497557,0.0,0.0,0.0,0
66893,1860.517557,0.0,0.0,0.0,0
66913,1860.537556,0.0,0.0,0.0,0
66933,1860.557614,0.0,0.0,0.0,0
66953,1860.577570,0.0,0.0,0.0,0
66973,1860.597569,0.0,0.0,0.0,0
66993,1860.617569,0.0,0.0,0.0,0
67013,1860.637573,0.0,0.0,0.0,0
67033,1860.657584,0.0,0.0,0.0,0
67053,1860.677591,0.0,0.0,0.0,0
67073,1860.697601,0.0,0.0,0.0,0
67093,1860.717596,0.0,0.0,0.0,0
67113,1860.737599,0.0,0.0,0.0,0
67133,1860.757592,0.0,0.0,0.0,0
67153,1860.777595,0.0,0.0,0.0,0
67173,1860.797594,0.0,0.0,0.0,0
67193,1860.817594,0.0,0.0,0.0,0
67213,1860.837598,0.0,0.0,0.0,0
67233,1860.857599,0.0,0.0,0.0,0
67253,1860.877598,0.0,0.0,0.0,0
67273,1860.897651,0.0,0.0,0.0,0
67293,1860.917594,0.0,0.0,0.0,0
67313,1860.937596,0.0,0.0,0.0,0
67333,1860.957599,0.0,0.0,0.0,0
67353,1860.977592,0.0,0.0,0.0,0
67373,1860.997594,0.0,0.0,0.0,0
67393,1861.017589,0.0,0.0,0.0,0
67413,1861.037593,0.0,0.0,0.0,0
67433,1861.057598,0.0,0.0,0.0,0
67453,1861.077590,0.0,0.0,0.0,0
67473,1861.097603,0.0,0.0,0.0,0
67493,1861.117590,0.0,0.0,0.0,0
67513,1861.136658,0.0,0.0,0.0,0
67533,1861.157598,0.0,0.0,0.0,0
67553,1861.177586,0.0,0.0,0.0,0
67573,1861.197590,0.0,0.0,0.0,0
67593,1861.217585,0.0,0.0,0.0,0
67613,1861.237587,0.0,0.0,0.0,0
67633,1861.257584,0.0,0.0,0.0,0
67653,1861.276585,0.0,0.0,0.0,0
67673,1861.297586,0.0,0.0,0.0,0
67693,1861.316650,0.0,0.0,0.0,0
67713,1861.337585,0.0,0.0,0.0,0
67733,1861.357613,0.0,0.0,0.0,0
67753,1861.377584,0.0,0.0,0.0,0
67773,1861.396580,0.0,0.0,0.0,0
67793,1861.416584,0.0,0.0,0.0,0
67813,1861.437580,0.0,0.0,0.0,0
67833,1861.457578,0.0,0.0,0.0,0
67853,1861.476579,0.0,0.0,0.0,0
67873,1861.497180,0.0,0.0,0.0,0
67893,1861.517156,0.0,0.0,0.0,0
67913,1861.537156,0.0,0.0,0.0,0
67933,1861.557150,0.0,0.0,0.0,0
67953,1861.577152,0.0,0.0,0.0,0
67973,1861.597155,0.0,0.0,0.0,0
67993,1861.617156,0.0,0.0,0.0,0
68013,1861.637146,0.0,0.0,0.0,0
68033,1861.657147,0.0,0.0,0.0,0
