cf_timestamp_ms,host_monotonic_s,sensorFilter.flowRange,sensorFilter.flowLocal,sensorFilter.surfOffset,sensorFilter.surfCand,sensorFilter.surfClear
66292,1859.916622,0.0,0,0.0,0.0,0.0
66312,1859.936618,0.0,0,0.0,0.0,0.0
66332,1859.956619,0.0,0,0.0,0.0,0.0
66352,1859.976619,0.0,0,0.0,0.0,0.0
66372,1859.996617,0.0,0,0.0,0.0,0.0
66392,1860.016616,0.0,0,0.0,0.0,0.0
66412,1860.036616,0.0,0,0.0,0.0,0.0
66432,1860.056617,0.0,0,0.0,0.0,0.0
66452,1860.076618,0.0,0,0.0,0.0,0.0
66472,1860.096612,0.0,0,0.0,0.0,0.0
66492,1860.116611,0.0,0,0.0,0.0,0.0
66512,1860.136613,0.0,0,0.0,0.0,0.0
66532,1860.156612,0.0,0,0.0,0.0,0.0
66552,1860.176613,0.0,0,0.0,0.0,0.0
66572,1860.196612,0.0,0,0.0,0.0,0.0
66592,1860.216612,0.0,0,0.0,0.0,0.0
66612,1860.236612,0.0,0,0.0,0.0,0.0
66632,1860.256612,0.0,0,0.0,0.0,0.0
66652,1860.276612,0.0,0,0.0,0.0,0.0
66672,1860.296611,0.0,0,0.0,0.0,0.0
66692,1860.316606,0.0,0,0.0,0.0,0.0
66712,1860.336608,0.0,0,0.0,0.0,0.0
66732,1860.356607,0.0,0,0.0,0.0,0.0
66752,1860.376608,0.0,0,0.0,0.0,0.0
66772,1860.396609,0.0,0,0.0,0.0,0.0
66792,1860.416606,0.0,0,0.0,0.0,0.0
66812,1860.436607,0.0,0,0.0,0.0,0.0
66832,1860.456605,0.0,0,0.0,0.0,0.0
66852,1860.476612,0.0,0,0.0,0.0,0.0
66872,1860.496626,0.0,0,0.0,0.0,0.0
66892,1860.516558,0.0,0,0.0,0.0,0.0
66912,1860.536561,0.0,0,0.0,0.0,0.0
66932,1860.556584,0.0,0,0.0,0.0,0.0
66952,1860.576575,0.0,0,0.0,0.0,0.0
66972,1860.596576,0.0,0,0.0,0.0,0.0
66992,1860.616571,0.0,0,0.0,0.0,0.0
67012,1860.636571,0.0,0,0.0,0.0,0.0
67032,1860.656574,0.0,0,0.0,0.0,0.0
67052,1860.676596,0.0,0,0.0,0.0,0.0
67072,1860.696603,0.0,0,0.0,0.0,0.0
67092,1860.716601,0.0,0,0.0,0.0,0.0
67112,1860.736600,0.0,0,0.0,0.0,0.0
67132,1860.756597,0.0,0,0.0,0.0,0.0
67152,1860.776599,0.0,0,0.0,0.0,0.0
67172,1860.796600,0.0,0,0.0,0.0,0.0
67192,1860.816602,0.0,0,0.0,0.0,0.0
67212,1860.836598,0.0,0,0.0,0.0,0.0
67232,1860.856599,0.0,0,0.0,0.0,0.0
67252,1860.876606,0.0,0,0.0,0.0,0.0
67272,1860.896623,0.0,0,0.0,0.0,0.0
67292,1860.916596,0.0,0,0.0,0.0,0.0
67312,1860.936595,0.0,0,0.0,0.0,0.0
67332,1860.956593,0.0,0,0.0,0.0,0.0
67352,1860.976596,0.0,0,0.0,0.0,0.0
67372,1860.996602,0.0,0,0.0,0.0,0.0
67392,1861.016594,0.0,0,0.0,0.0,0.0
67412,1861.036596,0.0,0,0.0,0.0,0.0
67432,1861.056590,0.0,0,0.0,0.0,0.0
67452,1861.076593,0.0,0,0.0,0.0,0.0
67472,1861.096609,0.0,0,0.0,0.0,0.0
67492,1861.116594,0.0,0,0.0,0.0,0.0
67512,1861.135651,0.0,0,0.0,0.0,0.0
67532,1861.156591,0.0,0,0.0,0.0,0.0
67552,1861.176593,0.0,0,0.0,0.0,0.0
67572,1861.196599,0.0,0,0.0,0.0,0.0
67592,1861.216589,0.0,0,0.0,0.0,0.0
67612,1861.236587,0.0,0,0.0,0.0,0.0
67632,1861.256590,0.0,0,0.0,0.0,0.0
67652,1861.275589,0.0,0,0.0,0.0,0.0
67672,1861.296593,0.0,0,0.0,0.0,0.0
67692,1861.315654,0.0,0,0.0,0.0,0.0
67712,1861.336588,0.0,0,0.0,0.0,0.0
67732,1861.356589,0.0,0,0.0,0.0,0.0
67752,1861.376587,0.0,0,0.0,0.0,0.0
67772,1861.395583,0.0,0,0.0,0.0,0.0
67792,1861.415598,0.0,0,0.0,0.0,0.0
67812,1861.436581,0.0,0,0.0,0.0,0.0
67832,1861.456583,0.0,0,0.0,0.0,0.0
67852,1861.475584,0.0,0,0.0,0.0,0.0
67872,1861.496205,0.0,0,0.0,0.0,0.0
67892,1861.516162,0.0,0,0.0,0.0,0.0
67912,1861.536160,0.0,0,0.0,0.0,0.0
67932,1861.556155,0.0,0,0.0,0.0,0.0
67952,1861.576154,0.0,0,0.0,0.0,0.0
67972,1861.596157,0.0,0,0.0,0.0,0.0
67992,1861.616159,0.0,0,0.0,0.0,0.0
68012,1861.636149,0.0,0,0.0,0.0,0.0
68032,1861.656152,0.0,0,0.0,0.0,0.0
68052,1861.676153,0.0,0,0.0,0.0,0.0
68072,1861.696150,0.0,0,0.0,0.0,0.0
68092,1861.716147,0.0,0,0.0,0.0,0.0
68112,1861.736183,0.0,0,0.0,0.0,0.0
68132,1861.756153,0.0,0,0.0,0.0,0.0
68152,1861.776166,0.0,0,0.0,0.0,0.0
68172,1861.796148,0.0,0,0.0,0.0,0.0
68192,1861.816145,0.0,0,0.0,0.0,0.0
68212,1861.835145,0.0,0,0.0,0.0,0.0
68232,1861.855146,0.0,0,0.0,0.0,0.0
68252,1861.876151,0.0,0,0.0,0.0,0.0
68272,1861.895211,0.0,0,0.0,0.0,0.0
68292,1861.915147,0.0,0,0.0,0.0,0.0
68312,1861.935143,0.0,0,0.0,0.0,0.0
68332,1861.955171,0.0,0,0.0,0.0,0.0
68352,1861.976150,0.0,0,0.0,0.0,0.0
68372,1861.995150,0.0,0,0.0,0.0,0.0
68392,1862.015142,0.0,0,0.0,0.0,0.0
68412,1862.035144,0.0,0,0.0,0.0,0.0
68432,1862.055144,0.0,0,0.0,0.0,0.0
