Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
580894,11,21,1,0,1
580914,2,3,1,0,1
580934,2,3,1,0,1
580954,12,26,1,0,0
580974,4,7,1,0,1
580994,4,7,1,0,1
581014,15,30,1,0,1
581034,6,11,1,0,1
581054,6,11,1,0,1
581074,17,34,1,0,1
581094,8,15,1,0,1
581114,8,15,1,0,1
581134,19,37,1,0,1
581154,10,19,1,0,1
581174,10,19,1,0,1
581194,20,42,1,0,0
581214,20,42,1,0,0
581234,11,23,1,0,0
581254,2,5,1,0,4294967295
581274,2,5,1,0,4294967295
581294,14,28,1,0,1
581314,4,7,1,0,0
581334,4,7,1,0,0
581354,15,30,1,0,0
581374,5,11,1,0,0
581394,5,11,1,0,0
581414,16,34,1,0,0
581434,7,15,1,0,0
581454,7,15,1,0,0
581474,18,38,1,0,0
581494,9,19,1,0,0
581514,9,19,1,0,0
581534,0,1,1,0,0
581554,0,1,1,0,0
581574,11,24,1,0,0
581594,2,5,1,0,0
581614,2,5,1,0,0
581634,14,27,1,0,1
581654,5,9,1,0,1
581674,5,9,1,0,1
581694,8,15,1,0,1
581714,8,15,1,0,1
581734,19,38,1,0,1
581754,19,38,1,0,1
581774,10,19,1,0,1
581794,0,1,1,0,0
581814,0,1,1,0,0
581834,4,7,1,0,1
581854,4,7,1,0,1
581874,15,30,1,0,1
581894,6,11,1,0,0
581914,6,11,1,0,0
581934,17,34,1,0,1
581954,8,15,1,0,1
581974,8,15,1,0,1
581994,19,38,1,0,1
582014,9,20,1,0,0
582034,9,20,1,0,0
582054,20,43,1,0,0
582074,20,43,1,0,0
582094,12,23,1,0,1
582114,2,5,1,0,0
582134,2,5,1,0,0
582154,13,28,1,0,0
582174,4,9,1,0,0
582194,4,9,1,0,0
582214,16,31,1,0,1
582234,6,11,1,0,0
582254,6,11,1,0,0
582274,17,34,1,0,0
582294,8,15,1,0,0
582314,8,15,1,0,0
582334,18,39,1,0,0
582354,18,39,1,0,0
582374,9,20,1,0,0
582394,0,1,1,0,0
582414,0,1,1,0,0
582434,11,24,1,0,0
582454,2,5,1,0,0
582474,2,5,1,0,0
582494,13,27,1,0,0
582514,4,9,1,0,0
582534,4,9,1,0,0
582554,15,32,1,0,0
582574,6,13,1,0,0
582594,6,13,1,0,0
582614,18,36,1,0,1
582634,9,19,1,0,0
582654,9,19,1,0,0
582674,19,40,1,0,0
582694,19,40,1,0,0
582714,11,22,1,0,1
582734,2,3,1,0,1
582754,2,3,1,0,1
582774,12,25,1,0,0
582794,4,7,1,0,1
582814,4,7,1,0,1
582834,15,29,1,0,1
582854,6,11,1,0,1
582874,6,11,1,0,1
582894,17,34,1,0,1
582914,8,15,1,0,1
582934,8,15,1,0,1
582954,18,39,1,0,0
582974,18,39,1,0,0
582994,10,20,1,0,1
583014,20,42,1,0,0
583034,20,42,1,0,0
583054,12,23,1,0,1
583074,2,5,1,0,0
583094,2,5,1,0,0
583114,13,27,1,0,0
583134,5,9,1,0,1
583154,5,9,1,0,1
583174,15,29,1,0,0
583194,6,11,1,0,0
583214,6,11,1,0,0
583234,17,33,1,0,0
583254,8,16,1,0,0
583274,8,16,1,0,0
583294,19,38,1,0,0
583314,19,38,1,0,0
583334,9,19,1,0,0
583354,0,1,1,0,0
583374,0,1,1,0,0
583394,11,24,1,0,0
583414,2,5,1,0,0
583434,2,5,1,0,0
583454,13,28,1,0,0
583474,4,9,1,0,0
583494,4,9,1,0,0
583514,15,31,1,0,0
583534,6,13,1,0,0
583554,6,13,1,0,0
583574,18,37,1,0,1
583594,18,37,1,0,1
583614,9,19,1,0,0
583634,20,40,1,0,1
583654,20,40,1,0,1
583674,11,21,1,0,1
583694,2,3,1,0,1
583714,2,3,1,0,1
583734,13,26,1,0,1
583754,4,7,1,0,1
583774,4,7,1,0,1
583794,15,29,1,0,1
583814,6,11,1,0,1
583834,6,11,1,0,1
583854,17,33,1,0,1
583874,7,16,1,0,0
583894,7,16,1,0,0
583914,19,39,1,0,1
583934,19,39,1,0,1
583954,10,20,1,0,1
583974,1,1,1,0,0
583994,1,1,1,0,0
584014,12,24,1,0,1
584034,3,5,1,0,1
584054,3,5,1,0,1
584074,14,27,1,0,1
584094,4,9,1,0,0
584114,4,9,1,0,0
584134,15,30,1,0,0
584154,15,30,1,0,0
584174,18,36,1,0,0
584194,18,36,1,0,0
584214,9,18,1,0,0
584234,20,40,1,0,0
584254,20,40,1,0,0
584274,11,22,1,0,0
584294,1,3,1,0,0
584314,1,3,1,0,0
584334,12,25,1,0,0
584354,3,7,1,0,0
584374,3,7,1,0,0
584394,14,29,1,0,0
584414,5,11,1,0,0
584434,5,11,1,0,0
584454,16,34,1,0,0
584474,16,34,1,0,0
584494,7,15,1,0,0
584514,18,39,1,0,0
584534,18,39,1,0,0
584554,10,19,1,0,1
584574,1,1,1,0,1
584594,1,1,1,0,1
584614,4,7,1,0,1
584634,4,7,1,0,1
584654,15,29,1,0,1
584674,6,11,1,0,1
584694,6,11,1,0,1
584714,17,35,1,0,1
584734,17,35,1,0,1
584754,8,15,1,0,1
584774,19,39,1,0,1
584794,19,39,1,0,1
584814,10,20,1,0,0
584834,10,20,1,0,0
584854,14,28,1,0,1
584874,5,9,1,0,1
584894,5,9,1,0,1
584914,16,32,1,0,1
584934,6,14,1,0,0
584954,6,14,1,0,0
584974,18,36,1,0,1
584994,18,36,1,0,1
585014,9,18,1,0,1
585034,20,39,1,0,1
585054,20,39,1,0,1
585074,10,22,1,0,0
585094,1,3,1,0,0
585114,1,3,1,0,0
585134,12,25,1,0,4294967295
585154,3,5,1,0,0
585174,3,5,1,0,0
585194,14,27,1,0,0
585214,5,9,1,0,0
585234,5,9,1,0,0
585254,15,32,1,0,0
585274,15,32,1,0,0
585294,6,15,1,0,0
585314,17,35,1,0,0
585334,17,35,1,0,0
585354,8,18,1,0,0
585374,20,39,1,0,1
585394,20,39,1,0,1
585414,2,5,1,0,0
585434,2,5,1,0,0
585454,13,27,1,0,0
