Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
582155,0.5212669372558594,0.0,0.0,8,1
582175,0.5212669372558594,0.0,0.0,8,1
582195,0.5212669372558594,0.0,0.0,8,1
582215,0.5212669372558594,0.0,0.0,8,1
582235,0.5212669372558594,0.0,0.0,6,1
582255,0.5212669372558594,0.0,0.0,6,1
582275,0.5212669372558594,0.0,0.0,6,1
582295,0.5212669372558594,0.0,0.0,8,1
582315,0.5212669372558594,0.0,0.0,8,1
582335,0.5212669372558594,0.0,0.0,8,1
582355,0.5212669372558594,0.0,0.0,8,1
582375,0.5212669372558594,0.0,0.0,8,1
582395,0.5212669372558594,0.0,0.0,8,1
582415,0.5212669372558594,0.0,0.0,8,1
582435,0.5212669372558594,0.0,0.0,8,1
582455,0.5212669372558594,0.0,0.0,8,1
582475,0.5212669372558594,0.0,0.0,8,1
582495,0.5212669372558594,0.0,0.0,8,1
582515,0.5212669372558594,0.0,0.0,8,1
582535,0.5212669372558594,0.0,0.0,8,1
582555,0.5212669372558594,0.0,0.0,8,1
582575,0.5212669372558594,0.0,0.0,8,1
582595,0.5212669372558594,0.0,0.0,8,1
582615,0.5212669372558594,0.0,0.0,8,1
582635,0.5212669372558594,0.0,0.0,8,1
582655,0.5212669372558594,0.0,0.0,8,1
582675,0.5212669372558594,0.0,0.0,8,1
582695,0.5212669372558594,0.0,0.0,8,1
582715,0.5212669372558594,0.0,0.0,8,1
582735,0.5212669372558594,0.0,0.0,6,1
582755,0.5212669372558594,0.0,0.0,6,1
582775,0.5212669372558594,0.0,0.0,8,1
582795,0.5212669372558594,0.0,0.0,8,1
582815,0.5212669372558594,0.0,0.0,8,1
582835,0.5212669372558594,0.0,0.0,8,1
582855,0.5212669372558594,0.0,0.0,8,1
582875,0.5212669372558594,0.0,0.0,8,1
582895,0.5212669372558594,0.0,0.0,8,1
582915,0.5212669372558594,0.0,0.0,8,1
582935,0.5212669372558594,0.0,0.0,8,1
582955,0.5212669372558594,0.0,0.0,8,1
582975,0.5212669372558594,0.0,0.0,8,1
582995,0.5212669372558594,0.0,0.0,8,1
583015,0.5212669372558594,0.0,0.0,8,1
583035,0.5212669372558594,0.0,0.0,8,1
583055,0.5212669372558594,0.0,0.0,8,1
583075,0.5212669372558594,0.0,0.0,8,1
583095,0.5212669372558594,0.0,0.0,8,1
583115,0.5212669372558594,0.0,0.0,8,1
583135,0.5212669372558594,0.0,0.0,8,1
583155,0.5212669372558594,0.0,0.0,8,1
583175,0.5212669372558594,0.0,0.0,8,1
583195,0.5212669372558594,0.0,0.0,8,1
583215,0.5212669372558594,0.0,0.0,8,1
583235,0.5212669372558594,0.0,0.0,8,1
583255,0.5212669372558594,0.0,0.0,8,1
583275,0.5212669372558594,0.0,0.0,8,1
583295,0.5212669372558594,0.0,0.0,8,1
583315,0.5212669372558594,0.0,0.0,8,1
583335,0.5212669372558594,0.0,0.0,8,1
583355,0.5212669372558594,0.0,0.0,8,1
583375,0.5212669372558594,0.0,0.0,8,1
583395,0.5212669372558594,0.0,0.0,8,1
583415,0.5212669372558594,0.0,0.0,8,1
