Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
4992833,0,0,0,0,0.0
4992853,0,0,0,0,0.0
4992873,0,0,0,0,0.0
4992893,0,0,0,0,0.0
4992913,0,0,0,0,0.0
4992933,0,0,0,0,0.0
4992953,0,0,0,0,0.0
4992973,0,0,0,0,0.0
4992993,0,0,0,0,0.0
4993013,0,0,0,0,0.0
4993033,0,0,0,0,0.0
4993053,0,0,0,0,0.0
4993073,0,0,0,0,0.0
4993093,0,0,0,0,0.0
4993113,0,0,0,0,0.0
4993133,0,0,0,0,0.0
4993153,0,0,0,0,0.0
4993173,0,0,0,0,0.0
4993193,0,0,0,0,0.0
4993213,0,0,0,0,0.0
4993233,0,0,0,0,0.0
4993253,0,0,0,0,0.0
4993273,0,0,0,0,0.0
4993293,0,0,0,0,0.0
4993313,0,0,0,0,0.0
4993333,0,0,0,0,0.0
4993353,0,0,0,0,0.0
4993373,0,0,0,0,0.0
4993393,0,0,0,0,0.0
4993413,0,0,0,0,0.0
4993433,0,0,0,0,0.0
4993453,0,0,0,0,0.0
4993473,0,0,0,0,0.0
4993493,0,0,0,0,0.0
4993513,0,0,0,0,0.0
4993533,0,0,0,0,0.0
4993553,0,0,0,0,0.0
4993573,0,0,0,0,0.0
4993593,0,0,0,0,0.0
4993613,0,0,0,0,0.0
4993633,0,0,0,0,0.0
4993653,0,0,0,0,0.0
4993673,0,0,0,0,0.0
4993693,0,0,0,0,0.0
4993713,0,0,0,0,0.0
4993733,0,0,0,0,0.0
4993753,0,0,0,0,0.0
4993773,0,0,0,0,0.0
4993793,0,0,0,0,0.0
4993813,0,0,0,0,0.0
4993833,0,0,0,0,0.0
4993853,0,0,0,0,0.0
4993873,0,0,0,0,0.0
4993893,0,0,0,0,0.0
4993913,0,0,0,0,0.0
4993933,0,0,0,0,0.0
4993953,0,0,0,0,0.0
4993973,0,0,0,0,0.0
4993993,0,0,0,0,0.0
4994013,0,0,0,0,0.0
4994033,0,0,0,0,0.0
4994053,0,0,0,0,0.0
4994073,0,0,0,0,0.0
4994093,0,0,0,0,0.0
4994113,0,0,0,0,0.0
4994133,0,0,0,0,0.0
4994153,0,0,0,0,0.0
4994173,0,0,0,0,0.0
4994193,0,0,0,0,0.0
4994213,0,0,0,0,0.0
4994233,0,0,0,0,0.0
4994253,0,0,0,0,0.0
4994273,0,0,0,0,0.0
4994293,0,0,0,0,0.0
4994313,0,0,0,0,0.0
4994333,0,0,0,0,0.0
4994353,0,0,0,0,0.0
4994373,0,0,0,0,0.0
4994393,0,0,0,0,0.0
4994413,0,0,0,0,0.0
4994433,0,0,0,0,0.0
4994453,0,0,0,0,0.0
4994473,0,0,0,0,0.0
