Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
4985224,0.5247688293457031,0.0,0.0,6,1
4985244,0.5247688293457031,0.0,0.0,0,0
4985264,0.5247688293457031,0.0,0.0,0,0
4985284,0.5247688293457031,0.0,0.0,0,0
4985304,0.5247688293457031,0.0,0.0,0,0
4985324,0.5247688293457031,0.0,0.0,0,0
4985344,0.5247688293457031,0.0,0.0,0,0
4985364,0.5247688293457031,0.0,0.0,0,0
4985384,0.5247688293457031,0.0,0.0,0,0
4985404,0.5247688293457031,0.0,0.0,0,0
4985424,0.5247688293457031,0.0,0.0,0,0
4985444,0.5247688293457031,0.0,0.0,0,0
4985464,0.5247688293457031,0.0,0.0,0,0
4985484,0.5247688293457031,0.0,0.0,0,0
4985504,0.7462234497070312,0.0,0.0,6,1
4985524,0.7462234497070312,0.0,0.0,6,1
4985544,0.7462234497070312,0.0,0.0,6,1
4985564,0.7462234497070312,0.0,0.0,6,1
4985584,0.7462234497070312,0.0,0.0,6,1
4985604,0.7462234497070312,0.0,0.0,6,1
4985624,0.7462234497070312,0.0,0.0,6,1
4985644,0.7462234497070312,0.0,0.0,6,1
4985664,0.7462234497070312,0.0,0.0,6,1
4985684,0.7462234497070312,0.0,0.0,6,1
4985704,0.7462234497070312,0.0,0.0,6,1
4985724,0.7462234497070312,0.0,0.0,6,1
4985744,0.7462234497070312,0.0,0.0,6,1
4985764,0.7462234497070312,0.0,0.0,8,1
4985784,0.7462234497070312,0.0,0.0,8,1
4985804,0.7462234497070312,0.0,0.0,6,1
4985824,0.7462234497070312,0.0,0.0,6,1
4985844,0.7462234497070312,0.0,0.0,6,1
4985864,0.7462234497070312,0.0,0.0,6,1
4985884,0.7462234497070312,0.0,0.0,6,1
4985904,0.7462234497070312,0.0,0.0,6,1
4985924,0.7462234497070312,0.0,0.0,8,1
4985944,0.7462234497070312,0.0,0.0,8,1
4985964,0.7462234497070312,0.0,0.0,8,1
4985984,0.7462234497070312,0.0,0.0,8,1
4986004,0.7462234497070312,0.0,0.0,8,1
4986024,0.7462234497070312,0.0,0.0,8,1
4986044,0.7462234497070312,0.0,0.0,6,1
4986064,0.7462234497070312,0.0,0.0,6,1
4986084,0.7462234497070312,0.0,0.0,6,1
4986104,0.7462234497070312,0.0,0.0,6,1
4986124,0.7462234497070312,0.0,0.0,6,1
4986144,0.7462234497070312,0.0,0.0,6,1
4986164,0.7462234497070312,0.0,0.0,6,1
4986184,0.7462234497070312,0.0,0.0,6,1
4986204,0.7462234497070312,0.0,0.0,6,1
4986224,0.7462234497070312,0.0,0.0,8,1
4986244,0.7462234497070312,0.0,0.0,8,1
4986264,0.7462234497070312,0.0,0.0,6,1
4986284,0.7462234497070312,0.0,0.0,6,1
4986304,0.7462234497070312,0.0,0.0,6,1
4986324,0.7462234497070312,0.0,0.0,6,1
4986344,0.7462234497070312,0.0,0.0,8,1
4986364,0.7462234497070312,0.0,0.0,8,1
4986384,0.7462234497070312,0.0,0.0,8,1
4986404,0.7462234497070312,0.0,0.0,8,1
