Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfCandInn,sensorFilter.surfClear,sensorFilter.surfN,sensorFilter.surfOffset
5605999,0,0.0,0.0,0.3600173890590668,0.625941276550293,0,0.0
5606019,0,0.0,0.0,0.3600173890590668,0.625941276550293,0,0.0
5606039,0,0.0,0.0,2.477217197418213,0.6278820037841797,0,0.0
5606059,0,0.0,0.0,2.477217197418213,0.6278820037841797,0,0.0
5606079,0,0.0,0.0,0.26140686869621277,0.624891459941864,0,0.0
5606099,0,0.0,0.0,0.26140686869621277,0.624891459941864,0,0.0
5606119,0,0.0,0.0,2.1260933876037598,0.6268976926803589,0,0.0
5606139,0,0.0,0.0,2.1260933876037598,0.6268976926803589,0,0.0
5606159,0,0.0,0.0,0.538618803024292,0.6249008178710938,0,0.0
5606179,0,0.0,0.0,0.538618803024292,0.6249008178710938,0,0.0
5606199,0,0.0,0.0,0.7746880650520325,0.6249614953994751,0,0.0
5606219,0,0.0,0.0,0.7746880650520325,0.6249614953994751,0,0.0
5606239,0,0.0,0.0,0.6933500170707703,0.6249550580978394,0,0.0
5606259,0,0.0,0.0,0.6933500170707703,0.6249550580978394,0,0.0
5606279,0,0.0,0.0,0.6933500170707703,0.6249550580978394,0,0.0
5606299,0,0.0,0.0,1.266069769859314,0.6259451508522034,0,0.0
5606319,0,0.0,0.0,1.266069769859314,0.6259451508522034,0,0.0
5606339,0,0.0,0.0,0.07360381633043289,0.6238703727722168,0,0.0
5606359,0,0.0,0.0,0.07360381633043289,0.6238703727722168,0,0.0
5606379,0,0.0,0.0,1.160714030265808,0.6258686184883118,0,0.0
5606399,0,0.0,0.0,1.160714030265808,0.6258686184883118,0,0.0
5606419,0,0.0,0.0,0.4115225672721863,0.6248512268066406,0,0.0
5606439,0,0.0,0.0,0.4115225672721863,0.6248512268066406,0,0.0
5606459,0,0.0,0.0,3.274792194366455,0.627906322479248,0,0.0
5606479,0,0.0,0.0,3.274792194366455,0.627906322479248,0,0.0
5606499,0,0.0,0.0,0.7889512777328491,0.6259045004844666,0,0.0
5606519,0,0.0,0.0,0.7889512777328491,0.6259045004844666,0,0.0
5606539,0,0.0,0.0,0.7889512777328491,0.6259045004844666,0,0.0
5606559,0,0.0,0.0,0.16863684356212616,0.6248869895935059,0,0.0
5606579,0,0.0,0.0,0.16863684356212616,0.6248869895935059,0,0.0
5606599,0,0.0,0.0,2.0036368370056152,0.6277937889099121,0,0.0
5606619,0,0.0,0.0,2.0036368370056152,0.6277937889099121,0,0.0
5606639,0,0.0,0.0,2.4026315212249756,0.6287808418273926,0,0.0
5606659,0,0.0,0.0,2.4026315212249756,0.6287808418273926,0,0.0
5606679,0,0.0,0.0,0.01769145205616951,0.6247608661651611,0,0.0
5606699,0,0.0,0.0,0.01769145205616951,0.6247608661651611,0,0.0
5606719,0,0.0,0.0,0.5532451272010803,0.626789927482605,0,0.0
5606739,0,0.0,0.0,0.5532451272010803,0.626789927482605,0,0.0
5606759,0,0.0,0.0,4.783326148986816,0.6307787895202637,0,0.0
5606779,0,0.0,0.0,4.783326148986816,0.6307787895202637,0,0.0
5606799,0,0.0,0.0,4.783326148986816,0.6307787895202637,0,0.0
5606819,0,0.0,0.0,0.7678816914558411,0.6277951598167419,0,0.0
5606839,0,0.0,0.0,0.7678816914558411,0.6277951598167419,0,0.0
5606859,0,0.0,0.0,7.5083208084106445,0.6327387690544128,0,0.0
5606879,0,0.0,0.0,7.5083208084106445,0.6327387690544128,0,0.0
5606899,0,0.0,0.0,0.959419310092926,0.6287544965744019,0,0.0
5606919,0,0.0,0.0,0.959419310092926,0.6287544965744019,0,0.0
5606939,0,0.0,0.0,4.2332940101623535,0.6317520141601562,0,0.0
5606959,0,0.0,0.0,4.2332940101623535,0.6317520141601562,0,0.0
5606979,0,0.0,0.0,0.8385926485061646,0.6288217306137085,0,0.0
5606999,0,0.0,0.0,0.8385926485061646,0.6288217306137085,0,0.0
5607019,0,0.0,0.0,1.2145888805389404,0.6288365125656128,0,0.0
5607039,0,0.0,0.0,1.2145888805389404,0.6288365125656128,0,0.0
5607059,0,0.0,0.0,1.2145888805389404,0.6288365125656128,0,0.0
5607079,0,0.0,0.0,4.142326831817627,0.6308432221412659,0,0.0
5607099,0,0.0,0.0,4.142326831817627,0.6308432221412659,0,0.0
5607119,0,0.0,0.0,0.23221753537654877,0.6258084177970886,0,0.0
5607139,0,0.0,0.0,0.23221753537654877,0.6258084177970886,0,0.0
5607159,0,0.0,0.0,3.0569474697113037,0.62782883644104,0,0.0
5607179,0,0.0,0.0,3.0569474697113037,0.62782883644104,0,0.0
5607199,0,0.0,0.0,0.09309868514537811,0.6228556632995605,0,0.0
5607219,0,0.0,0.0,0.09309868514537811,0.6228556632995605,0,0.0
5607239,0,0.0,0.0,0.9158325791358948,0.6228502988815308,0,0.0
5607259,0,0.0,0.0,0.9158325791358948,0.6228502988815308,0,0.0
5607279,0,0.0,0.0,0.97731614112854,0.6209259033203125,0,0.0
5607299,0,0.0,0.0,0.97731614112854,0.6209259033203125,0,0.0
5607319,0,0.0,0.0,0.15058033168315887,0.6179539561271667,0,0.0
5607339,0,0.0,0.0,0.15058033168315887,0.6179539561271667,0,0.0
5607359,0,0.0,0.0,0.15058033168315887,0.6179539561271667,0,0.0
5607379,0,0.0,0.0,0.771375834941864,0.6129366159439087,0,0.0
5607399,0,0.0,0.0,0.771375834941864,0.6129366159439087,0,0.0
5607419,0,0.0,0.0,0.0009392096544615924,0.6128430962562561,0,0.0
5607439,0,0.0,0.0,0.0009392096544615924,0.6128430962562561,0,0.0
5607459,0,0.0,0.0,0.014901324175298214,0.6118021607398987,0,0.0
5607479,0,0.0,0.0,0.014901324175298214,0.6118021607398987,0,0.0
5607499,0,0.0,0.0,0.2683583199977875,0.6117776036262512,0,0.0
5607519,0,0.0,0.0,0.2683583199977875,0.6117776036262512,0,0.0
5607539,0,0.0,0.0,0.007714390754699707,0.6087967753410339,0,0.0
5607559,0,0.0,0.0,0.007714390754699707,0.6087967753410339,0,0.0
5607579,0,0.0,0.0,2.8944387435913086,0.6027756333351135,0,0.0
5607599,0,0.0,0.0,2.8944387435913086,0.6027756333351135,0,0.0
5607619,0,0.0,0.0,2.8944387435913086,0.6027756333351135,0,0.0
5607639,0,0.0,0.0,0.009495671838521957,0.6047540307044983,0,0.0
5607659,0,0.0,0.0,0.009495671838521957,0.6047540307044983,0,0.0
5607679,0,0.0,0.0,9.45611572265625,0.5947496891021729,0,0.0
5607699,0,0.0,0.0,9.45611572265625,0.5947496891021729,0,0.0
5607719,0,0.0,0.0,1.6717395782470703,0.5956457853317261,0,0.0
5607739,0,0.0,0.0,1.6717395782470703,0.5956457853317261,0,0.0
5607759,0,0.0,0.0,4.589168071746826,0.5905959606170654,0,0.0
5607779,0,0.0,0.0,4.589168071746826,0.5905959606170654,0,0.0
5607799,0,0.0,0.0,4.013143539428711,0.587596595287323,0,0.0
5607819,0,0.0,0.0,4.013143539428711,0.587596595287323,0,0.0
5607839,0,0.0,0.0,6.816655158996582,0.5816049575805664,0,0.0
5607859,0,0.0,0.0,6.816655158996582,0.5816049575805664,0,0.0
5607879,0,0.0,0.0,8.546890258789062,0.5766149163246155,0,0.0
5607899,0,0.0,0.0,8.546890258789062,0.5766149163246155,0,0.0
5607919,0,0.0,0.0,8.546890258789062,0.5766149163246155,0,0.0
5607939,0,0.0,0.0,6.320941925048828,0.5735689997673035,0,0.0
5607959,0,0.0,0.0,6.320941925048828,0.5735689997673035,0,0.0
5607979,0,0.0,0.0,8.231825828552246,0.5684921741485596,0,0.0
5607999,0,0.0,0.0,8.231825828552246,0.5684921741485596,0,0.0
5608019,0,0.0,0.0,15.621204376220703,0.5603840351104736,0,0.0
5608039,0,0.0,0.0,15.621204376220703,0.5603840351104736,0,0.0
5608059,0,0.0,0.0,10.05164623260498,0.5573398470878601,0,0.0
