Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
5610381,7,13,1,0,-0.14441728591918945
5610401,7,13,1,0,-0.14441728591918945
5610421,7,13,1,0,-0.14441728591918945
5610441,7,13,1,0,-0.14441728591918945
5610461,7,13,1,0,-0.14441728591918945
5610481,7,13,1,0,-0.14441728591918945
5610501,7,13,1,0,-0.14441728591918945
5610521,7,13,1,0,-0.14441728591918945
5610541,7,13,1,0,-0.14441728591918945
5610561,7,13,1,0,-0.14441728591918945
5610581,7,13,1,0,-0.14441728591918945
5610601,7,13,1,0,-0.14441728591918945
5610621,7,13,1,0,-0.14441728591918945
5610641,7,13,1,0,-0.14441728591918945
5610661,7,13,1,0,-0.14441728591918945
5610681,7,13,1,0,-0.14441728591918945
5610701,7,13,1,0,-0.14441728591918945
5610721,7,13,1,0,-0.14441728591918945
5610741,7,13,1,0,-0.14441728591918945
5610761,7,13,1,0,-0.14441728591918945
5610781,7,13,1,0,-0.14441728591918945
5610801,7,13,1,0,-0.14441728591918945
5610821,7,13,1,0,-0.14441728591918945
5610841,7,13,1,0,-0.14441728591918945
5610861,7,13,1,0,-0.14441728591918945
5610881,7,13,1,0,-0.14441728591918945
5610901,7,13,1,0,-0.14441728591918945
5610921,7,13,1,0,-0.14441728591918945
5610941,7,13,1,0,-0.14441728591918945
5610961,7,13,1,0,-0.14441728591918945
5610981,7,13,1,0,-0.14441728591918945
5611001,7,13,1,0,-0.14441728591918945
5611021,7,13,1,0,-0.14441728591918945
5611041,7,13,1,0,-0.14441728591918945
5611061,7,13,1,0,-0.14441728591918945
5611081,7,13,1,0,-0.14441728591918945
5611101,7,13,1,0,-0.14441728591918945
5611121,7,13,1,0,-0.14441728591918945
5611141,7,13,1,0,-0.14441728591918945
5611161,7,13,1,0,-0.14441728591918945
5611181,7,13,1,0,-0.14441728591918945
5611201,7,13,1,0,-0.14441728591918945
5611221,7,13,1,0,-0.14441728591918945
5611241,7,13,1,0,-0.14441728591918945
5611261,7,13,1,0,-0.14441728591918945
5611281,7,13,1,0,-0.14441728591918945
5611301,7,13,1,0,-0.14441728591918945
5611321,7,13,1,0,-0.14441728591918945
5611341,7,13,1,0,-0.14441728591918945
5611361,7,13,1,0,-0.14441728591918945
5611381,7,13,1,0,-0.14441728591918945
5611401,7,13,1,0,-0.14441728591918945
5611421,7,13,1,0,-0.14441728591918945
5611441,7,13,1,0,-0.14441728591918945
5611461,7,13,1,0,-0.14441728591918945
5611481,7,13,1,0,-0.14441728591918945
5611501,7,13,1,0,-0.14441728591918945
5611521,7,13,1,0,-0.14441728591918945
5611541,7,13,1,0,-0.14441728591918945
5611561,7,13,1,0,-0.14441728591918945
5611581,7,13,1,0,-0.14441728591918945
5611601,7,13,1,0,-0.14441728591918945
5611621,7,13,1,0,-0.14441728591918945
5611641,7,13,1,0,-0.14441728591918945
5611661,7,13,1,0,-0.14441728591918945
5611681,7,13,1,0,-0.14441728591918945
5611701,7,13,1,0,-0.14441728591918945
5611721,7,13,1,0,-0.14441728591918945
5611741,7,13,1,0,-0.14441728591918945
5611761,7,13,1,0,-0.14441728591918945
5611781,7,13,1,0,-0.14441728591918945
5611801,7,13,1,0,-0.14441728591918945
5611821,7,13,1,0,-0.14441728591918945
5611841,7,13,1,0,-0.14441728591918945
5611861,7,13,1,0,-0.14441728591918945
5611881,7,13,1,0,-0.14441728591918945
5611901,7,13,1,0,-0.14441728591918945
5611921,7,13,1,0,-0.14441728591918945
5611941,7,13,1,0,-0.14441728591918945
5611961,7,13,1,0,-0.14441728591918945
5611981,7,13,1,0,-0.14441728591918945
5612001,7,13,1,0,-0.14441728591918945
5612021,7,13,1,0,-0.14441728591918945
5612041,7,13,1,0,-0.14441728591918945
5612061,7,13,1,0,-0.14441728591918945
5612081,7,13,1,0,-0.14441728591918945
5612101,7,13,1,0,-0.14441728591918945
5612121,7,13,1,0,-0.14441728591918945
5612141,7,13,1,0,-0.14441728591918945
5612161,7,13,1,0,-0.14441728591918945
5612181,7,13,1,0,-0.14441728591918945
5612201,7,13,1,0,-0.14441728591918945
5612221,7,13,1,0,-0.14441728591918945
5612241,7,13,1,0,-0.14441728591918945
5612261,7,13,1,0,-0.14441728591918945
5612281,7,13,1,0,-0.14441728591918945
5612301,7,13,1,0,-0.14441728591918945
5612321,7,13,1,0,-0.14441728591918945
5612341,7,13,1,0,-0.14441728591918945
5612361,7,13,1,0,-0.14441728591918945
5612381,7,13,1,0,-0.14441728591918945
5612401,7,13,1,0,-0.14441728591918945
5612421,7,13,1,0,-0.14441728591918945
5612441,7,13,1,0,-0.14441728591918945
5612461,7,13,1,0,-0.14441728591918945
5612481,7,13,1,0,-0.14441728591918945
5612501,7,13,1,0,-0.14441728591918945
5612521,7,13,1,0,-0.14441728591918945
5612541,7,13,1,0,-0.14441728591918945
5612561,7,13,1,0,-0.14441728591918945
5612581,7,13,1,0,-0.14441728591918945
5612601,7,13,1,0,-0.14441728591918945
5612621,7,13,1,0,-0.14441728591918945
5612641,7,13,1,0,-0.14441728591918945
5612661,7,13,1,0,-0.14441728591918945
5612681,7,13,1,0,-0.14441728591918945
5612701,7,13,1,0,-0.14441728591918945
5612721,7,13,1,0,-0.14441728591918945
5612741,7,13,1,0,-0.14441728591918945
5612761,7,13,1,0,-0.14441728591918945
5612781,7,13,1,0,-0.14441728591918945
5612801,7,13,1,0,-0.14441728591918945
5612821,7,13,1,0,-0.14441728591918945
5612841,7,13,1,0,-0.14441728591918945
5612861,7,13,1,0,-0.14441728591918945
5612881,7,13,1,0,-0.14441728591918945
5612901,7,13,1,0,-0.14441728591918945
5612921,7,13,1,0,-0.14441728591918945
5612941,7,13,1,0,-0.14441728591918945
5612961,7,13,1,0,-0.14441728591918945
5612981,7,13,1,0,-0.14441728591918945
5613001,7,13,1,0,-0.14441728591918945
5613021,7,13,1,0,-0.14441728591918945
5613041,7,13,1,0,-0.14441728591918945
5613061,7,13,1,0,-0.14441728591918945
5613081,7,13,1,0,-0.14441728591918945
5613101,7,13,1,0,-0.14441728591918945
5613121,7,13,1,0,-0.14441728591918945
5613141,7,13,1,0,-0.14441728591918945
5613161,7,13,1,0,-0.14441728591918945
5613181,7,13,1,0,-0.14441728591918945
5613201,7,13,1,0,-0.14441728591918945
5613221,7,13,1,0,-0.14441728591918945
5613241,7,13,1,0,-0.14441728591918945
5613261,7,13,1,0,-0.14441728591918945
5613281,7,13,1,0,-0.14441728591918945
5613301,7,13,1,0,-0.14441728591918945
5613321,7,13,1,0,-0.14441728591918945
5613341,7,13,1,0,-0.14441728591918945
5613361,7,13,1,0,-0.14441728591918945
5613381,7,13,1,0,-0.14441728591918945
5613401,7,13,1,0,-0.14441728591918945
5613421,7,13,1,0,-0.14441728591918945
5613441,7,13,1,0,-0.14441728591918945
5613461,7,13,1,0,-0.14441728591918945
5613481,7,13,1,0,-0.14441728591918945
5613501,7,13,1,0,-0.14441728591918945
5613521,7,13,1,0,-0.14441728591918945
